iter	Logloss
0	0.6669400391
1	0.6443900879
2	0.6216498047
3	0.5988529297
4	0.5827303711
5	0.5646904297
6	0.5499806152
7	0.5383068359
8	0.5243746094
9	0.5141017578
10	0.5022914063
11	0.4914813965
12	0.4825728516
13	0.4739722168
14	0.4653025391
15	0.4584977539
16	0.4532224121
17	0.4452532227
18	0.4394689453
19	0.4345591797
20	0.4275749023
21	0.4218546875
22	0.4175321289
23	0.4133909668
24	0.4089500977
25	0.4050693848
26	0.4006025391
27	0.3962278076
28	0.3926678467
29	0.3898434326
30	0.3851459961
31	0.3816239746
32	0.3788816406
33	0.3756658447
34	0.3732828857
35	0.3702724854
36	0.3674999756
37	0.3651523193
38	0.3632926758
39	0.3615359375
40	0.3589395508
41	0.356669751
42	0.3544463379
43	0.3524929199
44	0.3508275391
45	0.3493021729
46	0.3475543701
47	0.3460691406
48	0.343897583
49	0.3422400879
50	0.3406028809
51	0.3394623779
52	0.3382855957
53	0.3370794434
54	0.3358412109
55	0.3341390869
56	0.3317343262
57	0.3303240723
58	0.3286410156
59	0.3272689697
