iter	Passed	Remaining
0	27	1597
1	53	1560
2	80	1525
3	107	1502
4	133	1469
5	160	1446
6	187	1417
7	214	1391
8	241	1365
9	267	1339
10	294	1312
11	321	1285
12	348	1258
13	374	1229
14	400	1202
15	427	1175
16	453	1148
17	480	1122
18	507	1096
19	534	1069
20	561	1043
21	588	1017
22	615	989
23	641	962
24	668	936
25	695	909
26	721	882
27	748	855
28	774	828
29	801	801
30	828	775
31	855	748
32	882	721
33	909	695
34	935	668
35	962	641
36	989	614
37	1015	587
38	1042	561
39	1068	534
40	1096	508
41	1123	481
42	1149	454
43	1176	427
44	1203	401
45	1229	374
46	1257	347
47	1283	320
48	1310	294
49	1336	267
50	1363	240
51	1389	213
52	1416	187
53	1442	160
54	1468	133
55	1496	106
56	1523	80
57	1550	53
58	1577	26
59	1604	0
